LOCALIDADE,CIDADE,MOTIVO FALTA DE INTERNET PRIMEIRO TRIMESTRE,MOTIVO FALTA DE INTERNET SEGUNDO TRIMESTRE,MOTIVO FALTA DE INTERNET TERCEIRO TRIMESTRE,MOTIVO FALTA DE INTERNET QUARTO TRIMESTRE,QUANTIDADE DE SUPORTES PRIMEIRO TRIMESTRE,QUANTIDADE DE SUPORTES SEGUNDO TRIMESTRE,QUANTIDADE DE SUPORTES TERCEIRO TRIMESTRE,QUANTIDADE DE SUPORTES QUARTO TRIMESTRE,MOTIVO PARA CONTRATAR INTERNET PRIMEIRO TRIMESTRE,MOTIVO PARA CONTRATAR INTERNET SEGUNDO TRIMESTRE,MOTIVO PARA CONTRATAR INTERNET TERCEIRO TRIMESTRE,MOTIVO PARA CONTRATAR INTERNET QUARTO TRIMESTRE,QUANTIDADE DE INSTALAÇÕES INTERNET PRIMEIRO TRIMESTRE,QUANTIDADE DE INSTALAÇÕES INTERNET SEGUNDO TRIMESTRE,QUANTIDADE DE INSTALAÇÕES INTERNET TERCEIRO TRIMESTRE,QUANTIDADE DE INSTALAÇÕES INTERNET QUARTO TRIMESTRE
Cidade,Mercês,Cabo de internet arrebentado,Falta de energia no local,Roteador desconfigurado,Falta de pagamento da mensalidade,350,400,500,600,Publicidade (Panfletos / Redes Sociais),Indicação,Promoção,Publicidade (Panfletos / Redes Sociais),250,150,350,450
Área Rural,Silveirânia,Roteador desconfigurado,Roteador desconfigurado,Roteador desconfigurado,Falta de energia no local,500,300,450,600,Promoção,Valor da mensalidade adequado,Indicação,Promoção,250,300,450,300
Cidade,Mercês,Roteador desconfigurado,Falta de pagamento da mensalidade,Falta de energia no local,Roteador desconfigurado,550,400,500,600,Indicação,Publicidade (Panfletos / Redes Sociais),Publicidade (Panfletos / Redes Sociais),Valor da mensalidade adequado,150,200,400,350
Área Rural,Tabuleiro,Falta de pagamento da mensalidade,Falta de energia no local,Cabo de internet arrebentado,Falta de energia no local,550,500,500,550,Indicação,Valor da mensalidade adequado,Publicidade (Panfletos / Redes Sociais),Indicação,150,200,400,400
Cidade,Rio Pomba,Falta de energia no local,Roteador desconfigurado,Cabo de internet arrebentado,Falta de energia no local,450,500,550,500,Indicação,Publicidade (Panfletos / Redes Sociais),Valor da mensalidade adequado,Indicação,250,300,400,300
Área Rural,Silveirânia,Falta de energia no local,Falta de energia no local,Cabo de internet arrebentado,Roteador desconfigurado,500,550,450,550,Valor da mensalidade adequado,Promoção,Indicação,Publicidade (Panfletos / Redes Sociais),250,300,450,300
Cidade,Ubá,Falta de energia no local,Roteador desconfigurado,Falta de energia no local,Roteador desconfigurado,350,400,500,600,Valor da mensalidade adequado,Indicação,Publicidade (Panfletos / Redes Sociais),Valor da mensalidade adequado,300,350,350,350
Cidade,Silveirânia,Falta de energia no local,Roteador desconfigurado,Falta de pagamento da mensalidade,Falta de pagamento da mensalidade,500,500,550,500,Promoção,Publicidade (Panfletos / Redes Sociais),Valor da mensalidade adequado,Indicação,150,200,400,350
Área Rural,Tabuleiro,Falta de energia no local,Roteador desconfigurado,Falta de pagamento da mensalidade,Falta de energia no local,450,500,550,500,Promoção,Valor da mensalidade adequado,Indicação,Publicidade (Panfletos / Redes Sociais),250,300,450,300
Área Rural,Silveirânia,Roteador desconfigurado,Cabo de internet arrebentado,Falta de energia no local,Roteador desconfigurado,350,550,450,550,Valor da mensalidade adequado,Indicação,Promoção,Valor da mensalidade adequado,300,150,350,300
Cidade,Tabuleiro,Roteador desconfigurado,Falta de pagamento da mensalidade,Falta de pagamento da mensalidade,Cabo de internet arrebentado,450,500,550,500,Promoção,Publicidade (Panfletos / Redes Sociais),Indicação,Promoção,250,300,450,350
Cidade,Rio Pomba,Falta de energia no local,Cabo de internet arrebentado,Falta de energia no local,Cabo de internet arrebentado,350,400,500,600,Indicação,Valor da mensalidade adequado,Indicação,Publicidade (Panfletos / Redes Sociais),250,300,450,350
Cidade,Silveirânia,Cabo de internet arrebentado,Falta de energia no local,Cabo de internet arrebentado,Falta de pagamento da mensalidade,350,400,400,500,Promoção,Valor da mensalidade adequado,Indicação,Publicidade (Panfletos / Redes Sociais),250,300,450,350
Área Rural,Mercês,Cabo de internet arrebentado,Falta de energia no local,Roteador desconfigurado,Falta de pagamento da mensalidade,350,400,500,500,Promoção,Valor da mensalidade adequado,Indicação,Promoção,250,300,450,300
Cidade,Mercês,Roteador desconfigurado,Falta de pagamento da mensalidade,Roteador desconfigurado,Cabo de internet arrebentado,550,400,400,600,Indicação,Publicidade (Panfletos / Redes Sociais),Valor da mensalidade adequado,Promoção,300,150,350,300
Área Rural,Ubá,Cabo de internet arrebentado,Falta de energia no local,Roteador desconfigurado,Falta de pagamento da mensalidade,350,400,500,450,Valor da mensalidade adequado,Valor da mensalidade adequado,Indicação,Indicação,150,150,200,350
Cidade,Silveirânia,Cabo de internet arrebentado,Falta de energia no local,Roteador desconfigurado,Falta de pagamento da mensalidade,350,300,400,500,Promoção,Valor da mensalidade adequado,Indicação,Promoção,250,300,450,300
Área Rural,Rio Pomba,Falta de pagamento da mensalidade,Roteador desconfigurado,Falta de energia no local,Roteador desconfigurado,450,300,450,600,Valor da mensalidade adequado,Indicação,Publicidade (Panfletos / Redes Sociais),Publicidade (Panfletos / Redes Sociais),150,150,450,300
Cidade,Ubá,Cabo de internet arrebentado,Falta de energia no local,Roteador desconfigurado,Falta de pagamento da mensalidade,350,400,450,500,Promoção,Valor da mensalidade adequado,Indicação,Publicidade (Panfletos / Redes Sociais),150,200,350,400
Cidade,Ubá,Falta de pagamento da mensalidade,Roteador desconfigurado,Falta de energia no local,Cabo de internet arrebentado,350,400,450,500,Promoção,Indicação,Valor da mensalidade adequado,Publicidade (Panfletos / Redes Sociais),300,200,450,350
Área Rural,Ubá,Falta de energia no local,Falta de pagamento da mensalidade,Cabo de internet arrebentado,Falta de energia no local,450,500,450,450,Indicação,Promoção,Indicação,Publicidade (Panfletos / Redes Sociais),150,200,400,450
Cidade,Mercês,Roteador desconfigurado,Falta de pagamento da mensalidade,Cabo de internet arrebentado,Falta de energia no local,450,550,550,600,Indicação,Valor da mensalidade adequado,Valor da mensalidade adequado,Publicidade (Panfletos / Redes Sociais),300,200,200,300
Cidade,Silveirânia,Falta de energia no local,Roteador desconfigurado,Cabo de internet arrebentado,Falta de pagamento da mensalidade,350,300,400,450,Promoção,Promoção,Valor da mensalidade adequado,Publicidade (Panfletos / Redes Sociais),250,300,400,300
Área Rural,Rio Pomba,Falta de energia no local,Roteador desconfigurado,Falta de energia no local,Falta de energia no local,350,400,500,550,Promoção,Valor da mensalidade adequado,Publicidade (Panfletos / Redes Sociais),Publicidade (Panfletos / Redes Sociais),150,300,450,450
Cidade,Tabuleiro,Falta de pagamento da mensalidade,Roteador desconfigurado,Falta de pagamento da mensalidade,Roteador desconfigurado,350,550,550,550,Promoção,Valor da mensalidade adequado,Indicação,Indicação,150,200,450,350
Área Rural,Ubá,Roteador desconfigurado,Cabo de internet arrebentado,Cabo de internet arrebentado,Roteador desconfigurado,350,400,500,500,Valor da mensalidade adequado,Indicação,Indicação,Indicação,250,300,450,400
Área Rural,Ubá,Roteador desconfigurado,Falta de pagamento da mensalidade,Falta de pagamento da mensalidade,Falta de energia no local,350,500,500,600,Valor da mensalidade adequado,Indicação,Indicação,Publicidade (Panfletos / Redes Sociais),150,150,200,300
Cidade,Mercês,Cabo de internet arrebentado,Roteador desconfigurado,Roteador desconfigurado,Falta de pagamento da mensalidade,350,400,550,600,Promoção,Promoção,Indicação,Indicação,250,350,450,400
Cidade,Rio Pomba,Falta de energia no local,Falta de pagamento da mensalidade,Cabo de internet arrebentado,Falta de energia no local,350,400,500,600,Valor da mensalidade adequado,Indicação,Publicidade (Panfletos / Redes Sociais),Promoção,300,150,400,400
Cidade,Rio Pomba,Falta de pagamento da mensalidade,Roteador desconfigurado,Falta de energia no local,Cabo de internet arrebentado,450,550,450,600,Indicação,Publicidade (Panfletos / Redes Sociais),Promoção,Valor da mensalidade adequado,150,300,450,350
Cidade,Rio Pomba,Roteador desconfigurado,Cabo de internet arrebentado,Roteador desconfigurado,Roteador desconfigurado,350,300,400,450,Promoção,Promoção,Promoção,Promoção,150,150,200,300
Cidade,Juiz de Fora,Roteador desconfigurado,Falta de energia no local,Roteador desconfigurado,Roteador desconfigurado,450,300,400,450,Valor da mensalidade adequado,Indicação,Valor da mensalidade adequado,Valor da mensalidade adequado,150,150,200,300
Cidade,Ubá,Falta de energia no local,Roteador desconfigurado,Cabo de internet arrebentado,Falta de pagamento da mensalidade,350,300,400,450,Promoção,Valor da mensalidade adequado,Indicação,Publicidade (Panfletos / Redes Sociais),150,350,450,400
Cidade,Tabuleiro,Cabo de internet arrebentado,Roteador desconfigurado,Falta de pagamento da mensalidade,Cabo de internet arrebentado,550,550,450,600,Valor da mensalidade adequado,Promoção,Publicidade (Panfletos / Redes Sociais),Indicação,400,150,350,400
Cidade,Tabuleiro,Cabo de internet arrebentado,Falta de energia no local,Falta de pagamento da mensalidade,Roteador desconfigurado,350,400,550,550,Valor da mensalidade adequado,Indicação,Publicidade (Panfletos / Redes Sociais),Publicidade (Panfletos / Redes Sociais),300,200,450,300
Área Rural,Juiz de Fora,Cabo de internet arrebentado,Cabo de internet arrebentado,Falta de pagamento da mensalidade,Roteador desconfigurado,450,500,500,450,Valor da mensalidade adequado,Indicação,Publicidade (Panfletos / Redes Sociais),Promoção,150,300,350,400
Cidade,Mercês,Cabo de internet arrebentado,Roteador desconfigurado,Falta de pagamento da mensalidade,Falta de energia no local,500,300,400,450,Valor da mensalidade adequado,Indicação,Publicidade (Panfletos / Redes Sociais),Valor da mensalidade adequado,150,200,400,450
Área Rural,Juiz de Fora,Falta de energia no local,Falta de pagamento da mensalidade,Falta de energia no local,Roteador desconfigurado,450,400,500,600,Promoção,Valor da mensalidade adequado,Indicação,Publicidade (Panfletos / Redes Sociais),250,350,400,350
Área Rural,Pirauba,Falta de pagamento da mensalidade,Falta de energia no local,Cabo de internet arrebentado,Roteador desconfigurado,450,500,400,600,Valor da mensalidade adequado,Publicidade (Panfletos / Redes Sociais),Promoção,Indicação,250,300,400,450
Cidade,Ubá,Falta de energia no local,Falta de energia no local,Roteador desconfigurado,Roteador desconfigurado,550,550,550,600,Indicação,Valor da mensalidade adequado,Promoção,Publicidade (Panfletos / Redes Sociais),150,150,200,300
Área Rural,Tocantins,Cabo de internet arrebentado,Falta de pagamento da mensalidade,Falta de energia no local,Falta de pagamento da mensalidade,350,400,500,600,Valor da mensalidade adequado,Publicidade (Panfletos / Redes Sociais),Promoção,Indicação,400,150,200,300
Cidade,Ubá,Roteador desconfigurado,Cabo de internet arrebentado,Falta de pagamento da mensalidade,Falta de energia no local,350,400,500,600,Valor da mensalidade adequado,Promoção,Indicação,Publicidade (Panfletos / Redes Sociais),150,150,200,300
Área Rural,Silveirânia,Falta de pagamento da mensalidade,Cabo de internet arrebentado,Falta de pagamento da mensalidade,Falta de energia no local,550,500,450,600,Valor da mensalidade adequado,Promoção,Publicidade (Panfletos / Redes Sociais),Valor da mensalidade adequado,150,150,400,300
Cidade,Juiz de Fora,Falta de energia no local,Falta de energia no local,Falta de energia no local,Cabo de internet arrebentado,350,300,400,500,Valor da mensalidade adequado,Valor da mensalidade adequado,Valor da mensalidade adequado,Valor da mensalidade adequado,300,150,400,300
Área Rural,Juiz de Fora,Falta de pagamento da mensalidade,Falta de energia no local,Cabo de internet arrebentado,Roteador desconfigurado,350,500,550,600,Valor da mensalidade adequado,Indicação,Valor da mensalidade adequado,Publicidade (Panfletos / Redes Sociais),150,150,200,300
Cidade,Tocantins,Roteador desconfigurado,Falta de energia no local,Roteador desconfigurado,Cabo de internet arrebentado,550,300,500,450,Promoção,Publicidade (Panfletos / Redes Sociais),Indicação,Valor da mensalidade adequado,150,150,200,300
Área Rural,Pirauba,Falta de energia no local,Roteador desconfigurado,Cabo de internet arrebentado,Falta de pagamento da mensalidade,350,300,500,450,Valor da mensalidade adequado,Promoção,Valor da mensalidade adequado,Promoção,150,150,350,350
Cidade,Rio Pomba,Falta de energia no local,Roteador desconfigurado,Cabo de internet arrebentado,Cabo de internet arrebentado,350,300,400,450,Promoção,Promoção,Publicidade (Panfletos / Redes Sociais),Promoção,150,150,350,300
Cidade,Tabuleiro,Falta de energia no local,Falta de energia no local,Cabo de internet arrebentado,Roteador desconfigurado,450,300,500,600,Promoção,Valor da mensalidade adequado,Valor da mensalidade adequado,Valor da mensalidade adequado,150,200,350,400
Cidade,Rio Pomba,Cabo de internet arrebentado,Falta de energia no local,Roteador desconfigurado,Falta de pagamento da mensalidade,450,300,450,500,Publicidade (Panfletos / Redes Sociais),Promoção,Indicação,Valor da mensalidade adequado,150,200,350,400
Área Rural,Mercês,Cabo de internet arrebentado,Falta de energia no local,Roteador desconfigurado,Falta de pagamento da mensalidade,350,400,450,500,Promoção,Valor da mensalidade adequado,Indicação,Valor da mensalidade adequado,150,200,350,400
Cidade,Ubá,Cabo de internet arrebentado,Falta de energia no local,Roteador desconfigurado,Falta de pagamento da mensalidade,450,300,550,500,Indicação,Promoção,Valor da mensalidade adequado,Valor da mensalidade adequado,300,300,350,350
Cidade,Juiz de Fora,Roteador desconfigurado,Cabo de internet arrebentado,Falta de energia no local,Falta de energia no local,450,400,550,450,Valor da mensalidade adequado,Promoção,Promoção,Valor da mensalidade adequado,250,200,200,300
